1,8,1978,1.1,WWHT,0.00,0.00.1,13.68,0.00.2,0.00.3,0.00.4,39.22,0.00.5,0.00.6,222.43,74.23,2.06,148.31,1.17,0.17,5.30,166.46,0.36,0.41,16.21,0.05,2010,13.02,33.86,194.98,77.43,2.37,147.28,1.14,0.09,3.73,2040,6.14,28.31,39.58,397.90,95.62,6.28,146.79,1.12,0.13,3.42,0.34,0.38,2070,7.39,21.24,356.37,88.77,5.06,147.59,1.15,4.21
1,8,1979.0,2,WWHT,2.9,0.0,32.07,0.0,0.0,0.0,99.25,0.0,0.0,157.92,95.24,6.84,147.06,1.18,0.03,26.67,53.82,1.64,1.85,29.84,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1980.0,3,WWHT,7.34,0.0,28.72,0.0,26.23,0.0,74.02,0.0,0.0,75.44,91.93,3.49,148.33,1.22,0.03,21.26,76.22,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1981.0,4,WWHT,4.16,0.0,18.04,27.52,40.68,0.0,27.75,0.0,0.0,181.5,130.86,14.83,147.07,1.2,0.0,13.69,58.28,0.0,0.0,22.42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1982.0,5,WWHT,5.71,0.0,18.9,0.0,0.0,0.0,81.78,0.0,0.0,207.55,140.71,8.6,146.8,1.2,0.01,13.29,210.72,0.0,0.0,22.42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1983.0,6,WWHT,6.66,0.0,30.93,0.04,15.93,0.0,80.42,0.0,0.0,124.96,126.99,9.92,148.66,1.25,0.0,28.93,152.44,0.06,0.06,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1983.0,6,OATS,0.62,0.0,5.38,1.83,0.0,0.0,18.63,0.0,0.0,124.96,126.99,9.92,148.66,1.25,0.0,28.93,152.44,0.06,0.06,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1984.0,7,WWHT,0.19,0.0,20.16,4.83,0.0,0.0,71.31,0.0,0.0,122.02,130.11,4.94,147.6,1.27,0.0,19.97,58.28,0.0,0.0,22.42,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1985.0,8,WWHT,6.0,0.0,20.15,0.39,0.0,0.0,53.57,0.0,0.0,213.29,144.01,11.3,146.36,1.27,0.0,14.13,125.54,0.0,0.0,9.86,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,1986.0,9,WWHT,5.09,0.0,19.11,2.53,0.0,0.0,54.15,0.0,0.0,162.67,144.59,3.27,145.58,1.24,0.0,14.02,51.56,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
